customer_id,created_at,lifetime_value,loyalty_tier,email_opt_in,acquisition_channel
cust_0001,2025-08-13 16:49:49.592309+00:00,155.86,Platinum,False,Referral
cust_0002,2023-08-24 16:49:49.592344+00:00,453.79,Platinum,False,Store
cust_0003,2024-10-25 16:49:49.592356+00:00,263.69,Silver,False,Social Media
cust_0004,2023-10-09 16:49:49.592363+00:00,834.57,Silver,True,Store
cust_0005,2025-01-13 16:49:49.592368+00:00,55.22,Bronze,True,Social Media
cust_0006,2023-05-05 16:49:49.592374+00:00,953.04,Silver,True,Store
cust_0007,2023-06-17 16:49:49.592381+00:00,852.28,Platinum,False,Store
cust_0008,2023-03-30 16:49:49.592386+00:00,544.51,Platinum,True,Referral
cust_0009,2024-07-10 16:49:49.592391+00:00,200.41,Bronze,False,Social Media
cust_0010,2024-06-18 16:49:49.592396+00:00,555.69,Gold,True,Email
cust_0011,2023-09-25 16:49:49.592401+00:00,126.86,Bronze,False,Social Media
cust_0012,2023-09-22 16:49:49.592406+00:00,196.8,Platinum,False,Online
cust_0013,2024-12-29 16:49:49.592412+00:00,378.58,Gold,True,Email
cust_0014,2025-05-08 16:49:49.592416+00:00,285.51,Bronze,True,Social Media
cust_0015,2025-05-09 16:49:49.592421+00:00,357.83,Gold,False,Online
cust_0016,2023-11-12 16:49:49.592426+00:00,436.15,Bronze,True,Social Media
cust_0017,2022-12-01 16:49:49.592431+00:00,892.56,Gold,True,Referral
cust_0018,2024-02-20 16:49:49.592436+00:00,270.22,Bronze,False,Email
cust_0019,2024-02-01 16:49:49.592441+00:00,565.71,Gold,True,Social Media
cust_0020,2024-11-03 16:49:49.592446+00:00,307.79,Gold,False,Email
cust_0021,2025-08-21 16:49:49.592450+00:00,179.07,Bronze,True,Email
cust_0022,2025-05-11 16:49:49.592455+00:00,433.15,Gold,True,Store
cust_0023,2024-03-19 16:49:49.592461+00:00,260.77,Gold,True,Online
cust_0024,2024-10-23 16:49:49.592468+00:00,459.56,Silver,False,Social Media
cust_0025,2023-09-19 16:49:49.592473+00:00,806.38,Gold,False,Store
cust_0026,2023-01-26 16:49:49.592478+00:00,256.16,Bronze,True,Online
cust_0027,2024-12-22 16:49:49.592483+00:00,317.99,Silver,True,Social Media
cust_0028,2023-08-23 16:49:49.592488+00:00,306.3,Platinum,False,Store
cust_0029,2024-08-10 16:49:49.592492+00:00,464.99,Gold,True,Referral
cust_0030,2025-02-20 16:49:49.592497+00:00,73.64,Platinum,True,Social Media
cust_0031,2024-02-06 16:49:49.592502+00:00,396.48,Silver,True,Social Media
cust_0032,2023-02-17 16:49:49.592507+00:00,327.95,Platinum,True,Referral
cust_0033,2023-04-10 16:49:49.592511+00:00,432.71,Gold,False,Online
cust_0034,2025-03-30 16:49:49.592517+00:00,462.97,Gold,True,Email
cust_0035,2024-04-05 16:49:49.592521+00:00,301.1,Gold,True,Referral
cust_0036,2023-08-06 16:49:49.592526+00:00,502.12,Silver,False,Email
cust_0037,2024-09-11 16:49:49.592531+00:00,425.97,Silver,True,Email
cust_0038,2025-09-24 16:49:49.592536+00:00,352.76,Bronze,True,Social Media
cust_0039,2025-03-29 16:49:49.592540+00:00,286.37,Platinum,True,Store
cust_0040,2024-03-14 16:49:49.592573+00:00,245.03,Bronze,True,Email
cust_0041,2025-04-10 16:49:49.592578+00:00,75.6,Silver,False,Online
cust_0042,2025-02-12 16:49:49.592585+00:00,88.87,Silver,True,Email
cust_0043,2024-10-02 16:49:49.592590+00:00,679.8,Silver,True,Referral
cust_0044,2023-03-04 16:49:49.592596+00:00,677.07,Bronze,False,Social Media
cust_0045,2024-03-28 16:49:49.592601+00:00,594.32,Gold,True,Store
cust_0046,2025-05-17 16:49:49.592606+00:00,174.78,Bronze,True,Social Media
cust_0047,2023-12-04 16:49:49.592633+00:00,747.27,Gold,True,Store
cust_0048,2023-04-27 16:49:49.592638+00:00,158.4,Silver,False,Social Media
cust_0049,2024-10-15 16:49:49.592643+00:00,510.7,Bronze,True,Email
cust_0050,2023-05-16 16:49:49.592647+00:00,289.13,Bronze,True,Referral
cust_0051,2025-03-18 16:49:49.592652+00:00,65.69,Bronze,False,Referral
cust_0052,2023-04-16 16:49:49.592657+00:00,113.97,Platinum,True,Online
cust_0053,2025-07-30 16:49:49.592662+00:00,349.07,Gold,True,Referral
cust_0054,2023-08-06 16:49:49.592667+00:00,601.75,Platinum,True,Social Media
cust_0055,2023-07-11 16:49:49.592672+00:00,838.15,Bronze,False,Store
cust_0056,2025-10-09 16:49:49.592679+00:00,222.99,Platinum,True,Email
cust_0057,2023-10-11 16:49:49.592684+00:00,390.09,Gold,True,Online
cust_0058,2025-04-13 16:49:49.592693+00:00,214.41,Gold,True,Social Media
cust_0059,2024-03-01 16:49:49.592698+00:00,512.26,Silver,False,Online
cust_0060,2023-08-21 16:49:49.592703+00:00,677.29,Gold,False,Social Media
cust_0061,2025-03-11 16:49:49.592708+00:00,333.78,Gold,True,Online
cust_0062,2023-05-03 16:49:49.592714+00:00,742.75,Silver,True,Store
cust_0063,2025-08-25 16:49:49.592719+00:00,373.88,Silver,True,Social Media
cust_0064,2025-06-08 16:49:49.592724+00:00,406.73,Gold,True,Email
cust_0065,2023-04-09 16:49:49.592728+00:00,945.67,Bronze,True,Referral
cust_0066,2025-06-23 16:49:49.592734+00:00,201.97,Bronze,True,Online
cust_0067,2024-08-08 16:49:49.592739+00:00,619.8,Platinum,False,Email
cust_0068,2024-12-14 16:49:49.592744+00:00,383.47,Silver,True,Online
cust_0069,2024-12-30 16:49:49.592748+00:00,270.0,Bronze,True,Email
cust_0070,2025-07-14 16:49:49.592777+00:00,159.21,Silver,True,Store
cust_0071,2025-07-05 16:49:49.592782+00:00,457.1,Bronze,True,Email
cust_0072,2024-10-31 16:49:49.592786+00:00,425.91,Bronze,True,Online
cust_0073,2023-01-01 16:49:49.592791+00:00,619.59,Silver,True,Store
