ad_spend_id,date,channel_id,campaign_id,adset_id,creative_id,impressions,clicks,conversions,spend,revenue_attributed
ad_2022-10-17_meta_paid,2022-10-17,meta_paid,campaign_5,adset_4,creative_48,46467,280,73,587.44,984.45
ad_2022-10-17_tiktok_paid,2022-10-17,tiktok_paid,campaign_1,adset_2,creative_17,10108,1403,151,549.67,983.7
ad_2022-10-18_meta_paid,2022-10-18,meta_paid,campaign_12,adset_19,creative_31,83236,369,25,849.52,2094.85
ad_2022-10-18_tiktok_paid,2022-10-18,tiktok_paid,campaign_12,adset_30,creative_72,38017,250,157,287.27,556.07
ad_2022-10-19_meta_paid,2022-10-19,meta_paid,campaign_9,adset_5,creative_86,46075,1240,100,139.14,253.12
ad_2022-10-19_tiktok_paid,2022-10-19,tiktok_paid,campaign_20,adset_43,creative_84,49155,1923,46,285.82,642.55
ad_2022-10-20_meta_paid,2022-10-20,meta_paid,campaign_5,adset_1,creative_44,25664,1578,92,230.52,648.01
ad_2022-10-20_tiktok_paid,2022-10-20,tiktok_paid,campaign_7,adset_40,creative_53,20464,123,16,201.73,255.76
ad_2022-10-21_meta_paid,2022-10-21,meta_paid,campaign_5,adset_27,creative_93,54454,194,24,163.57,206.85
ad_2022-10-21_tiktok_paid,2022-10-21,tiktok_paid,campaign_4,adset_38,creative_88,50767,1607,38,426.85,1224.99
ad_2022-10-22_meta_paid,2022-10-22,meta_paid,campaign_14,adset_12,creative_21,46823,279,99,209.19,623.18
ad_2022-10-22_tiktok_paid,2022-10-22,tiktok_paid,campaign_17,adset_8,creative_93,78813,1361,35,267.18,581.23
ad_2022-10-23_meta_paid,2022-10-23,meta_paid,campaign_5,adset_27,creative_88,19993,1283,55,169.3,393.6
ad_2022-10-23_tiktok_paid,2022-10-23,tiktok_paid,campaign_4,adset_13,creative_39,35032,265,103,246.74,636.56
ad_2022-10-24_meta_paid,2022-10-24,meta_paid,campaign_12,adset_19,creative_47,77618,1665,187,750.95,1553.71
ad_2022-10-24_tiktok_paid,2022-10-24,tiktok_paid,campaign_15,adset_28,creative_68,29183,403,126,618.91,1772.2
ad_2022-10-25_meta_paid,2022-10-25,meta_paid,campaign_19,adset_17,creative_45,43532,1610,176,772.1,1440.92
ad_2022-10-25_tiktok_paid,2022-10-25,tiktok_paid,campaign_11,adset_29,creative_95,48642,662,188,280.06,628.09
ad_2022-10-26_meta_paid,2022-10-26,meta_paid,campaign_12,adset_27,creative_7,92299,1559,67,436.64,1082.78
ad_2022-10-26_tiktok_paid,2022-10-26,tiktok_paid,campaign_15,adset_12,creative_79,14211,1630,165,411.39,784.84
ad_2022-10-27_meta_paid,2022-10-27,meta_paid,campaign_1,adset_15,creative_62,16472,1738,104,279.54,750.95
ad_2022-10-27_tiktok_paid,2022-10-27,tiktok_paid,campaign_13,adset_39,creative_34,58719,721,104,112.81,268.92
ad_2022-10-28_meta_paid,2022-10-28,meta_paid,campaign_16,adset_34,creative_39,56990,1392,70,322.3,519.8
ad_2022-10-28_tiktok_paid,2022-10-28,tiktok_paid,campaign_14,adset_46,creative_76,91328,1296,13,292.03,863.29
ad_2022-10-29_meta_paid,2022-10-29,meta_paid,campaign_17,adset_11,creative_22,95557,1050,15,169.04,408.91
ad_2022-10-29_tiktok_paid,2022-10-29,tiktok_paid,campaign_19,adset_43,creative_14,83229,1814,146,475.73,615.81
ad_2022-10-30_meta_paid,2022-10-30,meta_paid,campaign_13,adset_24,creative_78,63761,1985,169,810.08,1361.48
