email_event_id,date,campaign_id,audience_size,sends,opens,clicks,conversions,revenue_attributed
email_20221017_001,2022-10-17,email_campaign_24,41860,11811,2482,626,23,1640.03
email_20221017_002,2022-10-17,email_campaign_38,40512,17092,2293,528,21,834.32
email_20221018_003,2022-10-18,email_campaign_13,17201,8547,2496,100,40,3462.2
email_20221018_004,2022-10-18,email_campaign_32,40972,9804,4749,761,28,2415.59
email_20221018_005,2022-10-18,email_campaign_16,11660,18422,7575,769,48,1090.51
email_20221018_006,2022-10-18,email_campaign_20,16960,44542,2878,257,24,1846.52
email_20221019_007,2022-10-19,email_campaign_36,43116,39917,5822,383,34,4628.87
email_20221019_008,2022-10-19,email_campaign_35,11929,32384,5494,646,30,1021.98
email_20221019_009,2022-10-19,email_campaign_3,38073,20534,7697,393,71,1589.72
email_20221020_010,2022-10-20,email_campaign_50,45552,14341,3622,121,58,3852.11
email_20221020_011,2022-10-20,email_campaign_25,16264,39039,6755,163,42,2090.15
email_20221020_012,2022-10-20,email_campaign_43,16427,37119,5120,846,25,1039.73
email_20221020_013,2022-10-20,email_campaign_18,27192,11363,4480,863,21,2403.58
email_20221020_014,2022-10-20,email_campaign_6,25030,24226,4873,683,26,572.53
email_20221021_015,2022-10-21,email_campaign_50,18320,40578,4285,91,86,4525.27
email_20221021_016,2022-10-21,email_campaign_11,27276,35883,992,82,29,1383.08
email_20221022_017,2022-10-22,email_campaign_18,44898,33296,5327,177,69,3418.98
email_20221022_018,2022-10-22,email_campaign_23,37584,17826,4805,781,22,3801.36
email_20221022_019,2022-10-22,email_campaign_4,48207,25418,3798,600,79,4878.37
email_20221022_020,2022-10-22,email_campaign_10,41047,15698,4877,354,80,4460.61
email_20221023_021,2022-10-23,email_campaign_21,27932,14316,2616,671,70,4764.4
email_20221023_022,2022-10-23,email_campaign_25,45175,23321,3919,787,34,2549.16
email_20221023_023,2022-10-23,email_campaign_17,44111,14883,2486,121,43,1746.19
email_20221024_024,2022-10-24,email_campaign_28,37123,19881,3204,651,10,2529.06
email_20221024_025,2022-10-24,email_campaign_23,28305,36466,6940,788,43,3791.02
email_20221024_026,2022-10-24,email_campaign_40,8072,20262,8494,569,16,4207.03
email_20221025_027,2022-10-25,email_campaign_13,19240,28451,4204,592,81,1594.43
email_20221025_028,2022-10-25,email_campaign_1,40844,40314,1339,761,76,3682.63
email_20221025_029,2022-10-25,email_campaign_15,38243,39251,3723,791,75,1138.95
email_20221025_030,2022-10-25,email_campaign_14,43373,9219,1563,759,31,2816.81
email_20221025_031,2022-10-25,email_campaign_19,33092,43706,3831,285,48,3104.13
email_20221026_032,2022-10-26,email_campaign_12,18749,26986,1994,394,57,2664.67
email_20221026_033,2022-10-26,email_campaign_7,42044,44720,7174,117,29,3854.73
email_20221026_034,2022-10-26,email_campaign_46,28436,12421,3167,171,20,1002.35
email_20221026_035,2022-10-26,email_campaign_11,20388,9349,3412,790,26,2237.06
email_20221026_036,2022-10-26,email_campaign_16,44852,13310,7124,362,66,667.19
email_20221027_037,2022-10-27,email_campaign_35,48704,24179,3751,507,74,835.93
email_20221027_038,2022-10-27,email_campaign_15,20957,18203,5146,255,90,3728.01
email_20221027_039,2022-10-27,email_campaign_24,8152,13085,6861,799,80,3013.29
email_20221027_040,2022-10-27,email_campaign_18,22930,42698,5771,737,32,1874.07
email_20221028_041,2022-10-28,email_campaign_4,5165,25877,3002,745,15,1480.24
email_20221028_042,2022-10-28,email_campaign_1,37043,22119,7073,212,31,1639.71
email_20221028_043,2022-10-28,email_campaign_31,36931,38677,7666,815,43,861.82
email_20221028_044,2022-10-28,email_campaign_42,43575,15234,3999,693,18,1083.94
email_20221028_045,2022-10-28,email_campaign_47,6407,18521,6410,462,67,4786.02
email_20221029_046,2022-10-29,email_campaign_35,15396,30924,1123,117,79,2695.47
email_20221029_047,2022-10-29,email_campaign_20,11042,15610,5276,581,63,2483.76
