return_id,order_line_id,product_id,return_reason,return_timestamp,refund_amount
return_0000001,order_000012_4,prod_133,Late Delivery,2022-11-15 19:58:00+00:00,57.74
return_0000002,order_000013_3,prod_006,Wrong Size,2022-11-16 15:23:00+00:00,196.84
return_0000003,order_000037_3,prod_092,Changed Mind,2022-11-06 09:02:00+00:00,56.28
return_0000004,order_000039_1,prod_156,Changed Mind,2022-11-07 16:21:00+00:00,22.65
return_0000005,order_000040_4,prod_361,Defective,2022-11-04 15:21:00+00:00,3.07
return_0000006,order_000063_1,prod_299,Changed Mind,2022-11-09 15:41:00+00:00,45.3
return_0000007,order_000064_5,prod_391,Late Delivery,2022-11-03 14:26:00+00:00,32.62
return_0000008,order_000066_3,prod_425,Defective,2022-10-24 22:46:00+00:00,29.23
return_0000009,order_000071_1,prod_549,Defective,2022-11-17 12:49:00+00:00,131.06
return_0000010,order_000079_2,prod_296,Changed Mind,2022-11-05 11:08:00+00:00,12.4
return_0000011,order_000080_1,prod_020,Wrong Size,2022-11-04 08:23:00+00:00,22.13
return_0000012,order_000090_2,prod_548,Late Delivery,2022-11-12 19:40:00+00:00,4.4
return_0000013,order_000090_3,prod_229,Changed Mind,2022-11-03 13:37:00+00:00,12.37
return_0000014,order_000096_1,prod_333,Defective,2022-10-26 08:09:00+00:00,87.98
return_0000015,order_000097_4,prod_445,Late Delivery,2022-11-16 20:24:00+00:00,46.72
return_0000016,order_000109_2,prod_519,Wrong Size,2022-11-17 21:45:00+00:00,21.46
return_0000017,order_000113_1,prod_491,Wrong Size,2022-11-17 22:45:00+00:00,29.32
return_0000018,order_000124_2,prod_298,Changed Mind,2022-11-17 11:26:00+00:00,42.6
return_0000019,order_000133_4,prod_547,Changed Mind,2022-11-10 10:10:00+00:00,18.66
return_0000020,order_000136_2,prod_432,Not as Described,2022-10-31 17:41:00+00:00,15.25
return_0000021,order_000140_3,prod_150,Defective,2022-11-17 21:25:00+00:00,18.39
return_0000022,order_000143_2,prod_077,Late Delivery,2022-11-15 16:53:00+00:00,124.74
return_0000023,order_000147_2,prod_001,Defective,2022-11-20 19:20:00+00:00,20.93
return_0000024,order_000155_3,prod_111,Late Delivery,2022-11-03 13:38:00+00:00,71.34
return_0000025,order_000160_4,prod_245,Late Delivery,2022-11-08 11:39:00+00:00,99.5
return_0000026,order_000175_1,prod_237,Not as Described,2022-10-26 08:06:00+00:00,140.75
return_0000027,order_000176_1,prod_579,Wrong Size,2022-11-13 09:22:00+00:00,66.07
return_0000028,order_000187_2,prod_300,Late Delivery,2022-11-16 08:33:00+00:00,31.26
return_0000029,order_000196_1,prod_290,Changed Mind,2022-11-04 09:53:00+00:00,51.9
return_0000030,order_000202_3,prod_053,Changed Mind,2022-11-19 22:33:00+00:00,30.08
return_0000031,order_000203_2,prod_315,Changed Mind,2022-10-29 11:39:00+00:00,51.32
return_0000032,order_000209_5,prod_129,Late Delivery,2022-11-08 19:27:00+00:00,39.28
return_0000033,order_000229_1,prod_475,Wrong Size,2022-11-15 12:11:00+00:00,49.84
return_0000034,order_000230_3,prod_015,Changed Mind,2022-10-30 08:03:00+00:00,36.65
return_0000035,order_000233_1,prod_488,Changed Mind,2022-11-10 17:19:00+00:00,15.11
return_0000036,order_000233_3,prod_537,Not as Described,2022-10-25 15:35:00+00:00,9.36
return_0000037,order_000248_4,prod_076,Changed Mind,2022-11-11 13:35:00+00:00,102.54
return_0000038,order_000250_1,prod_082,Late Delivery,2022-11-22 18:00:00+00:00,19.91
return_0000039,order_000250_3,prod_313,Late Delivery,2022-11-09 13:02:00+00:00,14.79
return_0000040,order_000258_1,prod_355,Defective,2022-11-08 09:08:00+00:00,7.08
return_0000041,order_000275_2,prod_082,Not as Described,2022-11-20 15:44:00+00:00,15.08
return_0000042,order_000277_2,prod_227,Not as Described,2022-10-28 19:31:00+00:00,64.98
return_0000043,order_000286_2,prod_190,Wrong Size,2022-11-04 14:52:00+00:00,40.83
return_0000044,order_000290_1,prod_292,Changed Mind,2022-11-23 14:43:00+00:00,37.06
return_0000045,order_000295_1,prod_277,Late Delivery,2022-11-19 15:47:00+00:00,24.95
return_0000046,order_000303_1,prod_312,Wrong Size,2022-11-05 17:35:00+00:00,80.56
return_0000047,order_000303_2,prod_497,Wrong Size,2022-11-02 11:23:00+00:00,73.56
return_0000048,order_000309_1,prod_018,Not as Described,2022-11-05 12:28:00+00:00,7.96
return_0000049,order_000318_2,prod_497,Defective,2022-11-23 12:57:00+00:00,66.72
return_0000050,order_000327_4,prod_590,Not as Described,2022-11-13 14:50:00+00:00,142.88
